Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Hoffenheim,1,1,Heidenheim,1,1,2024-01-27,17:30,2,2,0
Stuttgart,2,5,RB Leipzig,1,2,2024-01-27,17:30,3,7,4
Werder Bremen,1,3,Freiburg,1,1,2024-01-27,17:30,2,4,2
Wolfsburg,1,1,FC Koln,1,1,2024-01-27,17:30,2,2,0
Eintracht Frankfurt,0,1,Mainz,0,0,2024-01-26,22:30,0,1,1
Bayern Munich,0,1,Union Berlin,0,0,2024-01-24,22:30,0,1,1
B. Monchengladbach,1,1,Augsburg,0,2,2024-01-21,19:30,1,3,2
Bayern Munich,0,0,Werder Bremen,0,1,2024-01-21,17:30,0,1,1
RB Leipzig,1,2,Bayer Leverkusen,0,3,2024-01-20,20:30,1,5,4
Bochum,0,1,Stuttgart,0,0,2024-01-20,17:30,0,1,1
Darmstadt,0,2,Eintracht Frankfurt,1,2,2024-01-20,17:30,1,4,3
FC Koln,0,0,Dortmund,1,4,2024-01-20,17:30,1,4,3
Freiburg,1,3,Hoffenheim,0,2,2024-01-20,17:30,1,5,4
Heidenheim,1,1,Wolfsburg,1,1,2024-01-20,17:30,2,2,0
B. Monchengladbach,2,3,Stuttgart,0,1,2024-01-14,19:30,2,4,2
Bochum,0,1,Werder Bremen,0,1,2024-01-14,17:30,0,2,2
Darmstadt,0,0,Dortmund,1,3,2024-01-13,20:30,1,3,2
Augsburg,0,0,Bayer Leverkusen,0,1,2024-01-13,17:30,0,1,1
FC Koln,1,1,Heidenheim,0,1,2024-01-13,17:30,1,2,1
Freiburg,0,0,Union Berlin,0,0,2024-01-13,17:30,0,0,0
Mainz,0,1,Wolfsburg,1,1,2024-01-13,17:30,1,2,1
RB Leipzig,0,0,Eintracht Frankfurt,1,1,2024-01-13,17:30,1,1,0
Bayern Munich,1,3,Hoffenheim,0,0,2024-01-12,22:30,1,3,2
Bayer Leverkusen,3,4,Bochum,0,0,2024-12-20,22:30,3,4,1
Eintracht Frankfurt,0,2,B. Monchengladbach,1,1,2024-12-20,22:30,1,3,2
Heidenheim,0,3,Freiburg,1,2,2024-12-20,22:30,1,5,4
Stuttgart,2,3,Augsburg,0,0,2024-12-20,22:30,2,3,1
Wolfsburg,1,1,Bayern Munich,2,2,2024-12-20,22:30,3,3,0
Union Berlin,0,2,FC Koln,0,0,2024-12-20,20:30,0,2,2
Dortmund,1,1,Mainz,1,1,2024-12-19,22:30,2,2,0
Hoffenheim,2,3,Darmstadt,1,3,2024-12-19,22:30,3,6,3
Werder Bremen,0,1,RB Leipzig,0,1,2024-12-19,20:30,0,2,2
Bayern Munich,1,3,Stuttgart,0,0,2024-12-17,21:30,1,3,2
Bayer Leverkusen,1,3,Eintracht Frankfurt,0,0,2024-12-17,19:30,1,3,2
Freiburg,0,2,FC Koln,0,0,2024-12-17,17:30,0,2,2
RB Leipzig,1,3,Hoffenheim,1,1,2024-12-16,20:30,2,4,2
Augsburg,1,1,Dortmund,1,1,2024-12-16,17:30,2,2,0
Bochum,1,3,Union Berlin,0,0,2024-12-16,17:30,1,3,2
Darmstadt,0,0,Wolfsburg,0,1,2024-12-16,17:30,0,1,1
Mainz,0,0,Heidenheim,1,1,2024-12-16,17:30,1,1,0
B. Monchengladbach,1,2,Werder Bremen,1,2,2024-12-15,22:30,2,4,2
FC Koln,0,0,Mainz,0,0,2024-12-10,19:30,0,0,0
Stuttgart,1,1,Bayer Leverkusen,0,1,2024-12-10,17:30,1,2,1
Dortmund,1,2,RB Leipzig,1,3,2024-12-09,20:30,2,5,3
Eintracht Frankfurt,3,5,Bayern Munich,1,1,2024-12-09,17:30,4,6,2
Heidenheim,1,3,Darmstadt,0,2,2024-12-09,17:30,1,5,4
Union Berlin,1,3,B. Monchengladbach,0,1,2024-12-09,17:30,1,4,3
Werder Bremen,1,2,Augsburg,0,0,2024-12-09,17:30,1,2,1
Wolfsburg,0,0,Freiburg,0,1,2024-12-09,17:30,0,1,1
Hoffenheim,2,3,Bochum,0,1,2024-12-08,22:30,2,4,2
Augsburg,1,2,Eintracht Frankfurt,0,1,2024-12-03,21:30,1,3,2
Bayer Leverkusen,0,1,Dortmund,1,1,2024-12-03,19:30,1,2,1
Mainz,0,0,Freiburg,0,1,2024-12-03,17:30,0,1,1
Stuttgart,1,2,Werder Bremen,0,0,2024-12-02,20:30,1,2,1
B. Monchengladbach,0,2,Hoffenheim,0,1,2024-12-02,17:30,0,3,3
Bochum,2,3,Wolfsburg,1,1,2024-12-02,17:30,3,4,1
RB Leipzig,2,2,Heidenheim,1,1,2024-12-02,17:30,3,3,0
Darmstadt,0,0,FC Koln,0,1,2024-12-01,22:30,0,1,1
Hoffenheim,0,1,Mainz,1,1,2024-11-26,19:30,1,2,1
Heidenheim,0,0,Bochum,0,0,2024-11-26,17:30,0,0,0
Eintracht Frankfurt,1,1,Stuttgart,2,2,2024-11-25,20:30,3,3,0
Dortmund,3,4,B. Monchengladbach,2,2,2024-11-25,17:30,5,6,1
Freiburg,1,1,Darmstadt,1,1,2024-11-25,17:30,2,2,0
Union Berlin,0,1,Augsburg,1,1,2024-11-25,17:30,1,2,1
Werder Bremen,0,0,Bayer Leverkusen,2,3,2024-11-25,17:30,2,3,1
Wolfsburg,1,2,RB Leipzig,0,1,2024-11-25,17:30,1,3,2
FC Koln,0,0,Bayern Munich,1,1,2024-11-24,22:30,1,1,0
RB Leipzig,1,3,Freiburg,1,1,2024-11-12,21:30,2,4,2
Werder Bremen,1,2,Eintracht Frankfurt,0,2,2024-11-12,19:30,1,4,3
Bayer Leverkusen,1,4,Union Berlin,0,0,2024-11-12,17:30,1,4,3
Bochum,1,1,FC Koln,0,1,2024-11-11,20:30,1,2,1
Augsburg,0,1,Hoffenheim,1,1,2024-11-11,17:30,1,2,1
Bayern Munich,2,4,Heidenheim,0,2,2024-11-11,17:30,2,6,4
Darmstadt,0,0,Mainz,0,0,2024-11-11,17:30,0,0,0
Stuttgart,1,2,Dortmund,1,1,2024-11-11,17:30,2,3,1
B. Monchengladbach,2,4,Wolfsburg,0,0,2024-11-10,22:30,2,4,2
Heidenheim,0,2,Stuttgart,0,0,2024-11-05,19:30,0,2,2
Wolfsburg,1,2,Werder Bremen,1,2,2024-11-05,17:30,2,4,2
Dortmund,0,0,Bayern Munich,2,4,2024-11-04,20:30,2,4,2
FC Koln,1,1,Augsburg,1,1,2024-11-04,17:30,2,2,0
Freiburg,1,3,B. Monchengladbach,3,3,2024-11-04,17:30,4,6,2
