Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals,,
Bayern Munich,0,8,Darmstadt,0,0,28/10/2022,16:30,0,8,8,,
Freiburg,1,1,Darmstadt,1,1,25/11/2022,17:30,2,2,0,,
Heidenheim,1,3,Darmstadt,0,2,09/12/2022,17:30,1,5,4,,
Hoffenheim,2,3,Darmstadt,1,3,19/12/2022,22:30,3,6,3,,
Bayer Leverkusen,3,4,Bochum,0,0,20/12/2022,22:30,3,4,1,,
Darmstadt,1,1,Bochum,1,2,03/11/2022,22:30,2,3,1,,
Freiburg,2,2,Bochum,1,1,21/10/2022,16:30,3,3,0,,
Heidenheim,0,0,Bochum,0,0,26/11/2022,17:30,0,0,0,,
Hoffenheim,2,3,Bochum,0,1,08/12/2022,22:30,2,4,2,,
RB Leipzig,0,0,Bochum,0,0,07/10/2022,16:30,0,0,0,,
Dortmund,0,0,Bayern Munich,2,4,04/11/2022,20:30,2,4,2,,
Eintracht Frankfurt,3,5,Bayern Munich,1,1,09/12/2022,17:30,4,6,2,,
FC Koln,0,0,Bayern Munich,1,1,24/11/2022,22:30,1,1,0,,
Mainz,1,1,Bayern Munich,2,3,21/10/2022,19:30,3,4,1,,
RB Leipzig,2,2,Bayern Munich,0,2,30/09/2022,19:30,2,4,2,,
Wolfsburg,1,1,Bayern Munich,2,2,20/12/2022,22:30,3,3,0,,
Augsburg,0,0,Bayer Leverkusen,0,1,13/01/2022,17:30,0,1,1,,
Hoffenheim,0,2,Bayer Leverkusen,2,3,04/11/2022,17:30,2,5,3,,
Mainz,0,0,Bayer Leverkusen,1,3,30/09/2022,16:30,1,3,2,,
Stuttgart,1,1,Bayer Leverkusen,0,1,10/12/2022,17:30,1,2,1,,
Werder Bremen,0,0,Bayer Leverkusen,2,3,25/11/2022,17:30,2,3,1,,
Wolfsburg,1,1,Bayer Leverkusen,1,2,21/10/2022,16:30,2,3,1,,
Bochum,0,1,B. Monchengladbach,3,3,30/09/2022,16:30,3,4,1,,
Dortmund,3,4,B. Monchengladbach,2,2,25/11/2022,17:30,5,6,1,,
Eintracht Frankfurt,0,2,B. Monchengladbach,1,1,20/12/2022,22:30,1,3,2,,
FC Koln,1,3,B. Monchengladbach,0,1,22/10/2022,16:30,1,4,3,,
Freiburg,1,3,B. Monchengladbach,3,3,04/11/2022,17:30,4,6,2,,
Union Berlin,1,3,B. Monchengladbach,0,1,09/12/2022,17:30,1,4,3,,
FC Koln,1,1,Augsburg,1,1,04/11/2022,17:30,2,2,0,,
Freiburg,1,2,Augsburg,0,0,01/10/2022,18:30,1,2,1,,
Heidenheim,2,2,Augsburg,3,5,22/10/2022,18:30,5,7,2,,
Stuttgart,2,3,Augsburg,0,0,20/12/2022,22:30,2,3,1,,
Union Berlin,0,1,Augsburg,1,1,25/11/2022,17:30,1,2,1,,
Werder Bremen,1,2,Augsburg,0,0,09/12/2022,17:30,1,2,1,,
Augsburg,1,3,  ,2,2,28/10/2022,16:30,3,5,2,,
