Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Lyon,1,2,Auxerre,0,1,2022-08-31,20:00,1,3,2
Monaco,1,2,Troyes,2,4,2022-08-31,20:00,3,6,3
Montpellier,1,2,AC Ajaccio,0,0,2022-08-31,20:00,1,2,1
Strasbourg,1,1,Nantes,0,1,2022-08-31,20:00,1,2,1
Paris SG,0,1,Monaco,1,1,2022-08-28,21:45,1,2,1
Reims,1,1,Lyon,0,1,2022-08-28,18:05,1,2,1
Brest,0,0,Montpellier,5,7,2022-08-28,16:00,5,7,2
Lorient,2,2,Clermont,0,1,2022-08-28,16:00,2,3,1
Nice,0,0,Marseille,3,3,2022-08-28,16:00,3,3,0
Troyes,1,3,Angers,0,1,2022-08-28,16:00,1,4,3
Nantes,0,3,Toulouse,1,1,2022-08-28,14:00,1,4,3
Lens,0,2,Rennes,0,1,2022-08-27,22:00,0,3,3
Auxerre,1,1,Strasbourg,0,0,2022-08-27,18:00,1,1,0
AC Ajaccio,0,1,Lille,2,3,2022-08-26,22:00,2,4,2
Lille,0,1,Paris SG,4,7,2022-08-21,21:45,4,8,4
Rennes,1,2,AC Ajaccio,0,1,2022-08-21,18:05,1,3,2
Angers,0,1,Brest,2,3,2022-08-21,16:00,2,4,2
Clermont,1,1,Nice,0,0,2022-08-21,16:00,1,1,0
Montpellier,1,1,Auxerre,0,2,2022-08-21,16:00,1,3,2
Toulouse,1,2,Lorient,1,2,2022-08-21,16:00,2,4,2
Strasbourg,1,1,Reims,0,1,2022-08-21,14:00,1,2,1
