Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Chelsea,2,4,Manchester City,2,4,2022-11-12,19:30,4,8,4
Aston Villa,2,3,Fulham,0,1,2022-11-12,17:00,2,4,2
Brighton,1,1,Sheffield Utd,0,1,2022-11-12,17:00,1,2,1
Liverpool,1,3,Brentford,0,0,2022-11-12,17:00,1,3,2
West Ham,1,3,Nottingham,1,2,2022-11-12,17:00,2,5,3
Bournemouth,0,2,Newcastle,0,0,2022-11-11,20:30,0,2,2
Arsenal,1,3,Burnley,0,1,2022-11-11,18:00,1,4,3
Crystal Palace,1,2,Everton,1,3,2022-11-11,18:00,2,5,3
Manchester Utd,0,1,Luton,0,0,2022-11-11,18:00,0,1,1
Wolves,0,2,Tottenham,1,1,2022-11-11,15:30,1,3,2
Tottenham,1,1,Chelsea,1,4,2022-11-06,23:00,2,5,3
Luton,0,1,Liverpool,0,1,2022-11-05,19:30,0,2,2
Nottingham,1,2,Aston Villa,0,0,2022-11-05,17:00,1,2,1
Newcastle,0,1,Arsenal,0,0,2022-11-04,20:30,0,1,1
Brentford,1,3,West Ham,2,2,2022-11-04,18:00,3,5,2
Burnley,0,0,Crystal Palace,1,2,2022-11-04,18:00,1,2,1
Everton,1,1,Brighton,0,1,2022-11-04,18:00,1,2,1
Manchester City,3,6,Bournemouth,0,1,2022-11-04,18:00,3,7,4
Sheffield Utd,0,2,Wolves,0,1,2022-11-04,18:00,0,3,3
Fulham,0,0,Manchester Utd,0,1,2022-11-04,15:30,0,1,1
Manchester Utd,0,0,Manchester City,1,3,2022-10-29,18:30,1,3,2
Aston Villa,1,3,Luton,0,1,2022-10-29,17:00,1,4,3
Brighton,1,1,Fulham,0,1,2022-10-29,17:00,1,2,1
Liverpool,2,3,Nottingham,0,0,2022-10-29,17:00,2,3,1
West Ham,0,0,Everton,0,1,2022-10-29,16:00,0,1,1
