Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals,,
Union Berlin,0,0,Royale Union SG,1,1,08/09/2022,19:45,1,1,0,,
Ludogorets (Bul),1,1,Zalgiris (Ltu),0,0,18/08/2022,20:45,1,1,0,,
Rennes,0,2,Fenerbahce,0,2,15/09/2022,22:00,0,4,4,,
Dudelange (Lux),0,2,Malmo FF (Swe),0,2,11/08/2022,21:00,0,4,4,,
Braga,0,1,Royale Union SG,0,2,06/10/2022,22:00,0,3,3,,
Olympiacos Piraeus,0,0,Qarabag,0,3,06/10/2022,22:00,0,3,3,,
AS Roma,0,3,HJK,0,0,15/09/2022,22:00,0,3,3,,
Bodo/Glimt,0,2,Zurich,0,1,15/09/2022,22:00,0,3,3,,
Qarabag,0,3,Nantes,0,0,15/09/2022,19:45,0,3,3,,
Ludogorets,0,2,AS Roma,0,1,08/09/2022,19:45,0,3,3,,
Shkupi (Mkd),0,1,Shamrock Rovers (Irl),0,2,09/08/2022,22:00,0,3,3,,
Malmo FF (Swe),0,3,Dudelange (Lux),0,0,04/08/2022,20:00,0,3,3,,
PSV,0,2,Arsenal,0,0,27/10/2022,19:45,0,2,2,,
Freiburg,0,2,Nantes,0,0,06/10/2022,22:00,0,2,2,,
Sheriff Tiraspol,0,0,Real Sociedad,0,2,06/10/2022,19:45,0,2,2,,
Sivasspor (Tur),0,0,Malmo FF (Swe),0,2,25/08/2022,20:00,0,2,2,,
Slovacko (Cze),0,1,Fenerbahce (Tur),0,1,11/08/2022,20:00,0,2,2,,
Olympiacos Piraeus (Gre),0,1,Slovan Bratislava (Svk),0,1,04/08/2022,22:00,0,2,2,,
Maribor (Slo),0,0,HJK (Fin),0,2,04/08/2022,21:15,0,2,2,,
Sturm Graz,0,1,Feyenoord,0,0,27/10/2022,22:00,0,1,1,,
Ludogorets,0,0,Betis,0,1,27/10/2022,19:45,0,1,1,,
Union Berlin,0,1,Braga,0,0,27/10/2022,19:45,0,1,1,,
Arsenal,0,1,PSV,0,0,20/10/2022,20:00,0,1,1,,
Manchester Utd,0,1,Omonia,0,0,13/10/2022,22:00,0,1,1,,
Union Berlin,0,1,Malmo FF,0,0,13/10/2022,22:00,0,1,1,,
Dyn. Kyiv,0,0,Rennes,0,1,13/10/2022,19:45,0,1,1,,
Malmo FF,0,0,Union Berlin,0,1,06/10/2022,19:45,0,1,1,,
Braga,0,1,Union Berlin,0,0,15/09/2022,22:00,0,1,1,,
Monaco,0,0,Ferencvaros,0,1,15/09/2022,19:45,0,1,1,,
Crvena zvezda,0,0,Monaco,0,1,08/09/2022,22:00,0,1,1,,
Manchester Utd,0,0,Real Sociedad,0,1,08/09/2022,22:00,0,1,1,,
Hearts (Sco),0,0,Zurich (Sui),0,1,25/08/2022,22:00,0,1,1,,
Shamrock Rovers (Irl),0,1,Ferencvaros (Hun),0,0,25/08/2022,22:00,0,1,1,,
HJK (Fin),0,1,Silkeborg (Den),0,0,18/08/2022,19:00,0,1,1,,
HJK (Fin),0,1,Maribor (Slo),0,0,11/08/2022,19:00,0,1,1,,
Qarabag,0,0,Olympiacos Piraeus,0,0,13/10/2022,19:45,0,0,0,,
Sturm Graz,0,0,Lazio,0,0,06/10/2022,19:45,0,0,0,,
Pyunik Yerevan (Arm),0,0,Sheriff Tiraspol (Mda),0,0,18/08/2022,20:00,0,0,0,,
